framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1357.67	1357.67	1357.67	0.0002	0	100	100	100	90	30.8	26.2	4.78	0	1062.53	0	0.011	3	444	299	68	83.56	13776.09
angular	True	2471	2.36	193581	61947	3	90.45	3.12	2049	108	1744.61	2133.93	1744.61	0.0001	0	98	100	100	90	18.75	20.3	2.31	0	1057.41	0	-0.01	13	859	484	89	616.31	29894.72
jquery	True	496	2.26	100009	34722	1	99.5	2.88	1043	115	1981.75	1981.75	1981.75	0.1459	0	92	100	96	90	20.97	19.9	3.4	0	1052.88	0	-0.016	3	481	287	45	87.4	18604.14
le-truc	True	504	2.2	36682	13056	1	100	2.81	1044	115	1354.57	1677.86	1413.44	0	0	100	100	100	90	18.03	18.9	3.2	0	1054.69	0	-0.011	4	492	351	62	172.96	24227.08
lit	True	411	2.21	59808	15719	1	98.81	3.8	1038	111	1529.32	1832.48	1529.32	0	0	99	96	100	90	16.56	29.2	3.34	0	1049.3	0	-0.008	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	0	0	0	0	0	0	0	0	0	17.69	38.2	29.59	0	1042.67	26.1	-0.005	4	321	234	67	154.88	17543.75
preact	True	356	2.18	27622	10088	1	100	2.74	1042	111	1356.68	1660.02	1358.74	0.0001	0	100	100	100	90	18.2	25.9	8.67	0	1046.95	0	-0.011	12	776	461	101	585.8	25344.18
qwik	True	572	2.25	91158	34628	13	100	2.63	1041	112	1429.94	2116.52	1620.95	0.0001	0	99	96	100	90	17.64	14.6	2.65	0	1098.19	0	-0.013	16	754	415	83	861.8	26425.59
react	True	654	2.31	158538	50256	1	100	3.15	1019	122	1954.93	2257.39	1954.93	0.0001	0	97	100	100	90	18.8	26.1	4.58	0	1052.28	0	-0.01	13	762	438	90	634.69	24213.69
solid	True	531	2.18	26458	9243	1	100	2.86	1039	111	1385.51	1539.76	1385.51	0.0001	0	100	100	100	90	15.06	17.1	3.13	0	1045.86	0	-0.011	12	786	458	98	581.44	26202.05
svelte	True	1099	2.27	117668	38610	11	68.6	3.05	1224	135	1657.47	2106.4	1657.47	0	0	98	100	96	90	10.19	21.4	2.7	0	1027.77	0	0.004	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1217.31	1511.08	1278.3	0.1461	0	94	100	96	90	23.14	19.2	2.23	0	1049.16	0	-0.023	3	560	426	74	71.69	20768.9
vanjs	True	422	2.17	17211	5999	1	96.97	2.87	1035	111	1206.81	1380.21	1307.73	0	0	100	100	100	90	12.53	13.8	1.77	0	1040.19	0	-0.006	3	743	388	76	74.17	22895.14
vue	True	590	2.23	76585	29349	1	100	2.61	1032	111	1657.24	1839.86	1657.24	0.0001	0	99	100	100	90	18.08	21.8	7.3	0	1049.23	0	-0.011	11	677	217	57	686.46	10853.47
